Location,DevelopmentTiers,Max_Index_Country,CountryCovidDeathTiers,TOTALTESTS,TOTALCASES,TestingCoverage,RankOfTestCoverage
Tanzania,low development,0.529,Excellent,0,509,Critical Testing Shortage,2
Timor,medium development,0.606,Excellent,0,2276,Critical Testing Shortage,2
Saint Kitts and Nevis,medium development,0.779,Requires Investigation,0,44,Critical Testing Shortage,2
Saint Lucia,medium development,0.759,Excellent,0,4552,Critical Testing Shortage,2
Saint Vincent and the Grenadines,medium development,0.738,Excellent,0,1864,Critical Testing Shortage,2
Samoa,medium development,0.715,Requires Investigation,0,3,Critical Testing Shortage,2
San Marino,low development,NULL,Excellent,0,5066,Critical Testing Shortage,2
Sao Tome and Principe,medium development,0.625,Excellent,0,2302,Critical Testing Shortage,2
Seychelles,medium development,0.796,Excellent,0,5873,Critical Testing Shortage,2
Sierra Leone,low development,0.452,Excellent,0,4054,Critical Testing Shortage,2
Singapore,high development,0.938,Excellent,0,61145,Critical Testing Shortage,2
North America,low development,NULL,Excellent,0,37529487,Critical Testing Shortage,2
Oceania,low development,NULL,Excellent,0,43570,Critical Testing Shortage,2
Papua New Guinea,low development,0.555,Excellent,0,10997,Critical Testing Shortage,2
Montenegro,high development,0.829,Excellent,0,97389,Critical Testing Shortage,2
Netherlands,high development,0.944,Excellent,0,1522973,Critical Testing Shortage,2
Nicaragua,medium development,0.66,Excellent,0,6898,Critical Testing Shortage,2
Niger,low development,0.394,Excellent,0,5228,Critical Testing Shortage,2
Micronesia (country),medium development,0.62,Requires Investigation,0,1,Critical Testing Shortage,2
Moldova,medium development,0.75,Excellent,0,250837,Critical Testing Shortage,2
Monaco,low development,NULL,Excellent,0,2454,Critical Testing Shortage,2
Lebanon,medium development,0.744,Excellent,0,526578,Critical Testing Shortage,2
Lesotho,low development,0.527,Excellent,0,10731,Critical Testing Shortage,2
Liberia,low development,0.48,Excellent,0,2099,Critical Testing Shortage,2
Mali,low development,0.434,Excellent,0,13858,Critical Testing Shortage,2
Marshall Islands,medium development,0.704,Requires Investigation,0,4,Critical Testing Shortage,2
Mauritius,high development,0.804,Excellent,0,1209,Critical Testing Shortage,2
Kosovo,low development,NULL,Excellent,0,103638,Critical Testing Shortage,2
Kyrgyzstan,medium development,0.697,Excellent,0,95275,Critical Testing Shortage,2
Laos,medium development,0.613,Requires Investigation,0,757,Critical Testing Shortage,2
International,low development,NULL,Excellent,0,721,Critical Testing Shortage,2
Guinea,low development,0.477,Excellent,0,22215,Critical Testing Shortage,2
Guinea-Bissau,low development,0.48,Excellent,0,3734,Critical Testing Shortage,2
Guyana,medium development,0.682,Excellent,0,13283,Critical Testing Shortage,2
Haiti,low development,0.51,Excellent,0,13056,Critical Testing Shortage,2
Honduras,medium development,0.634,Excellent,0,212333,Critical Testing Shortage,2
Grenada,medium development,0.779,Excellent,0,160,Critical Testing Shortage,2
Gabon,medium development,0.703,Excellent,0,23075,Critical Testing Shortage,2
Georgia,high development,0.812,Excellent,254704,310310,Critical Testing Shortage,2
Germany,high development,0.947,Excellent,0,3405365,Critical Testing Shortage,2
Eswatini,medium development,0.611,Excellent,0,18458,Critical Testing Shortage,2
Europe,low development,NULL,Excellent,0,44863478,Critical Testing Shortage,2
European Union,low development,NULL,Excellent,0,30771214,Critical Testing Shortage,2
Djibouti,low development,0.524,Excellent,0,11100,Critical Testing Shortage,2
Dominica,medium development,0.742,Requires Investigation,0,174,Critical Testing Shortage,2
Egypt,medium development,0.707,Excellent,0,227552,Critical Testing Shortage,2
Equatorial Guinea,low development,0.592,Excellent,0,7694,Critical Testing Shortage,2
Eritrea,low development,0.459,Excellent,0,3671,Critical Testing Shortage,2
China,medium development,0.761,Excellent,0,101946,Critical Testing Shortage,2
Central African Republic,low development,0.397,Excellent,0,6411,Critical Testing Shortage,2
Chad,low development,0.398,Excellent,0,4817,Critical Testing Shortage,2
Comoros,low development,0.554,Excellent,0,3834,Critical Testing Shortage,2
Congo,low development,0.574,Excellent,0,10678,Critical Testing Shortage,2
Belize,medium development,0.716,Excellent,0,12668,Critical Testing Shortage,2
Benin,low development,0.545,Excellent,0,7821,Critical Testing Shortage,2
Botswana,medium development,0.735,Excellent,0,46934,Critical Testing Shortage,2
Brazil,medium development,0.765,Excellent,0,14659011,Critical Testing Shortage,2
Brunei,high development,0.838,Excellent,0,224,Critical Testing Shortage,2
Burkina Faso,low development,0.452,Excellent,0,13310,Critical Testing Shortage,2
Burundi,low development,0.433,Excellent,0,3995,Critical Testing Shortage,2
Cambodia,low development,0.594,Excellent,0,13402,Critical Testing Shortage,2
