Location,Date,TodayCases,YesterdayCases,DailyCasesSpikeTiers
Afghanistan,2021-02-09,25,24,Excellent Measures in Place
Afghanistan,2021-02-10,18,25,Excellent Measures in Place
Afghanistan,2021-02-11,18,18,Excellent Measures in Place
Afghanistan,2021-02-12,25,18,Standard
Afghanistan,2021-02-13,28,25,Good Measures in Place
Afghanistan,2021-02-14,19,28,Excellent Measures in Place
Afghanistan,2021-02-15,22,19,Good Measures in Place
Afghanistan,2021-02-16,4,22,Excellent Measures in Place
Afghanistan,2021-02-17,22,4,Monitor
Afghanistan,2021-02-18,17,22,Excellent Measures in Place
Afghanistan,2021-02-19,18,17,Excellent Measures in Place
Afghanistan,2021-02-20,5,18,Excellent Measures in Place
Afghanistan,2021-02-21,24,5,Monitor
Afghanistan,2021-02-22,13,24,Excellent Measures in Place
Afghanistan,2021-02-23,29,13,Monitor
Afghanistan,2021-02-24,18,29,Excellent Measures in Place
Afghanistan,2021-02-25,16,18,Excellent Measures in Place
Afghanistan,2021-02-26,16,16,Excellent Measures in Place
Afghanistan,2021-02-27,11,16,Excellent Measures in Place
Afghanistan,2021-02-28,7,11,Excellent Measures in Place
Afghanistan,2021-03-01,19,7,Monitor
Afghanistan,2021-03-02,26,19,Standard
Afghanistan,2021-03-03,11,26,Excellent Measures in Place
Afghanistan,2021-03-04,5,11,Excellent Measures in Place
Afghanistan,2021-03-05,52,5,Monitor
Afghanistan,2021-03-06,13,52,Excellent Measures in Place
Afghanistan,2021-03-07,7,13,Excellent Measures in Place
Afghanistan,2021-03-08,29,7,Monitor
Afghanistan,2021-03-09,0,29,Excellent Measures in Place
Afghanistan,2021-03-10,18,0,Monitor
Afghanistan,2021-03-11,23,18,Standard
Afghanistan,2021-03-12,42,23,Monitor
Afghanistan,2021-03-13,0,42,Excellent Measures in Place
Afghanistan,2021-03-14,26,0,Monitor
Afghanistan,2021-03-15,0,26,Excellent Measures in Place
Afghanistan,2021-03-16,10,0,Standard
Afghanistan,2021-03-17,21,10,Monitor
Afghanistan,2021-03-18,28,21,Standard
Afghanistan,2021-03-19,25,28,Excellent Measures in Place
Afghanistan,2021-03-20,24,25,Excellent Measures in Place
Afghanistan,2021-03-21,10,24,Excellent Measures in Place
Afghanistan,2021-03-22,50,10,Monitor
Afghanistan,2021-03-23,24,50,Excellent Measures in Place
Afghanistan,2021-03-24,15,24,Excellent Measures in Place
Afghanistan,2021-03-25,34,15,Monitor
Afghanistan,2021-03-26,28,34,Excellent Measures in Place
Afghanistan,2021-03-27,36,28,Standard
Afghanistan,2021-03-28,4,36,Excellent Measures in Place
Afghanistan,2021-03-29,28,4,Monitor
Afghanistan,2021-03-30,62,28,Monitor
Afghanistan,2021-03-31,70,62,Standard
Afghanistan,2021-04-01,63,70,Excellent Measures in Place
Afghanistan,2021-04-02,55,63,Excellent Measures in Place
Afghanistan,2021-04-03,23,55,Excellent Measures in Place
Afghanistan,2021-04-04,81,23,Investigate
Afghanistan,2021-04-05,41,81,Excellent Measures in Place
Afghanistan,2021-04-06,62,41,Monitor
Afghanistan,2021-04-07,94,62,Monitor
Afghanistan,2021-04-08,70,94,Excellent Measures in Place
Afghanistan,2021-04-09,76,70,Standard
Afghanistan,2021-04-10,125,76,Monitor
Afghanistan,2021-04-11,16,125,Excellent Measures in Place
Afghanistan,2021-04-12,82,16,Investigate
Afghanistan,2021-04-13,122,82,Monitor
Afghanistan,2021-04-14,128,122,Standard
Afghanistan,2021-04-15,42,128,Excellent Measures in Place
